GEO.display-label,HC01_VC40,HC03_VC40,HC01_VC41,HC03_VC41,HC01_VC42,HC03_VC42,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC101,HC03_VC101,HC01_VC118,HC01_VC130,HC03_VC130,HC01_VC134,HC03_VC134,HC03_VC161,HC03_VC167,HC03_VC171
"Birmingham city, Alabama",96222,96222,31887,33.1,20328,21.1,25772,26.8,5299,5.5,12936,13.4,96222,96222,198,0.2,3579,3.7,8398,8.7,1518,1.6,13184,13.7,5218,5.4,2803,2.9,6882,7.2,10333,10.7,24972,26,10806,11.2,4948,5.1,3383,3.5,96222,96222,79530,82.7,13372,13.9,3320,3.5,0,0,22864,25.4,23432,210335,210335,24506,11.7,19,35.5,24.5
"Dothan city, Alabama",28595,28595,9814,34.3,5496,19.2,7632,26.7,2079,7.3,3574,12.5,28595,28595,111,0.4,1232,4.3,2543,8.9,848,3,4120,14.4,1964,6.9,438,1.5,1156,4,2669,9.3,7557,26.4,2762,9.7,1993,7,1202,4.2,28595,28595,23995,83.9,3085,10.8,1501,5.2,14,0,4484,17.2,26008,66882,66882,6515,9.7,15,36.2,19.6
"Hoover city, Alabama",43937,43937,22965,52.3,6406,14.6,10260,23.4,1468,3.3,2838,6.5,43937,43937,779,1.8,1492,3.4,3020,6.9,1157,2.6,3847,8.8,1556,3.5,2066,4.7,5023,11.4,5708,13,9766,22.2,5550,12.6,2687,6.1,1286,2.9,43937,43937,36682,83.5,5212,11.9,2043,4.6,0,0,1798,5.6,43410,84425,84425,4616,5.5,3.3,8.1,5.4
"Huntsville city, Alabama",93852,93852,42082,44.8,15399,16.4,19596,20.9,4586,4.9,12189,13,93852,93852,309,0.3,3627,3.9,11984,12.8,1199,1.3,10434,11.1,2084,2.2,2622,2.8,2891,3.1,17461,18.6,20342,21.7,10079,10.7,3831,4.1,6989,7.4,93852,93852,75189,80.1,15049,16,3469,3.7,145,0.2,10326,12.8,33255,192285,192285,17395,9,14,36.1,17.3
"Mobile city, Alabama",84607,84607,27583,32.6,19195,22.7,22869,27,6167,7.3,8793,10.4,84607,84607,482,0.6,4123,4.9,7332,8.7,2731,3.2,10336,12.2,4534,5.4,1810,2.1,4360,5.2,8688,10.3,20221,23.9,11631,13.7,4265,5,4094,4.8,84607,84607,71421,84.4,9509,11.2,3368,4,309,0.4,15404,19.5,25358,186224,186224,22457,12.1,16.6,32.5,21.4
"Montgomery city, Alabama",89703,89703,31908,35.6,15615,17.4,22176,24.7,4460,5,15544,17.3,89703,89703,0,0,2418,2.7,11785,13.1,2518,2.8,12341,13.8,3433,3.8,923,1,6135,6.8,8467,9.4,18921,21.1,10520,11.7,4016,4.5,8226,9.2,89703,89703,68837,76.7,17325,19.3,3417,3.8,124,0.1,16931,20.9,26936,196099,196099,20567,10.5,15,31,19.3
"Tuscaloosa city, Alabama",45872,45872,15946,34.8,10508,22.9,8709,19,1949,4.2,8760,19.1,45872,45872,87,0.2,1422,3.1,8319,18.1,459,1,4500,9.8,1632,3.6,738,1.6,963,2.1,4560,9.9,14075,30.7,6328,13.8,1554,3.4,1235,2.7,45872,45872,34268,74.7,9636,21,1968,4.3,0,0,3246,8.9,24920,98527,98527,7065,7.2,13.6,34.4,24.7
"Anchorage municipality, Alaska",153817,153817,62901,40.9,24825,16.1,38124,24.8,12716,8.3,15251,9.9,153817,153817,3909,2.5,8123,5.3,4166,2.7,4245,2.8,16909,11,14417,9.4,3539,2.3,7072,4.6,15096,9.8,38020,24.7,13996,9.1,7170,4.7,17155,11.2,153817,153817,112505,73.1,32244,21,8821,5.7,247,0.2,9258,8.8,39061,287066,287066,30609,10.7,3.9,14.6,6.3
"Avondale city, Arizona",39145,39145,10999,28.1,6154,15.7,12336,31.5,4081,10.4,5575,14.2,39145,39145,625,1.6,2690,6.9,3912,10,813,2.1,4543,11.6,2875,7.3,493,1.3,4512,11.5,4335,11.1,7672,19.6,3463,8.8,2524,6.4,688,1.8,39145,39145,34484,88.1,3220,8.2,1441,3.7,0,0,4326,16.7,22906,82516,82516,9776,11.8,11.1,24.7,14.4
"Casas Adobes CDP, Arizona",36672,36672,15504,42.3,7118,19.4,8653,23.6,2476,6.8,2921,8,36672,36672,391,1.1,1559,4.3,2237,6.1,479,1.3,4548,12.4,1502,4.1,921,2.5,1755,4.8,5147,14,10002,27.3,4330,11.8,2090,5.7,1711,4.7,36672,36672,29654,80.9,5116,14,1902,5.2,0,0,2010,6.8,34708,69628,69628,3977,5.7,6.3,3.4,10.4
"Chandler city, Arizona",133540,133540,62412,46.7,17171,12.9,35890,26.9,8817,6.6,9250,6.9,133540,133540,256,0.2,6766,5.1,17804,13.3,3770,2.8,16392,12.3,5315,4,3738,2.8,14526,10.9,16191,12.1,26459,19.8,10680,8,5378,4,6265,4.7,133540,133540,112135,84,16004,12,5363,4,38,0,4419,4.9,35893,247189,247189,13255,5.4,5.5,15.8,7.1
"Flagstaff city, Arizona",36254,36254,14253,39.3,8610,23.7,8956,24.7,2399,6.6,2036,5.6,36254,36254,581,1.6,1122,3.1,2262,6.2,460,1.3,4724,13,977,2.7,313,0.9,1009,2.8,3040,8.4,11316,31.2,7424,20.5,1394,3.8,1632,4.5,36254,36254,25080,69.2,9132,25.2,1821,5,221,0.6,1763,7.7,24257,70802,70802,8371,11.8,6,16.8,17.6
"Gilbert town, Arizona",111308,111308,57416,51.6,13189,11.8,29346,26.4,4665,4.2,6692,6,111308,111308,406,0.4,5505,4.9,10872,9.8,3519,3.2,11655,10.5,4942,4.4,2776,2.5,13490,12.1,13254,11.9,26348,23.7,9265,8.3,4480,4,4796,4.3,111308,111308,93181,83.7,12370,11.1,5652,5.1,105,0.1,3700,5,34565,236959,236959,12054,5.1,3.7,8.4,5
"Glendale city, Arizona",118856,118856,38939,32.8,21873,18.4,31468,26.5,13146,11.1,13430,11.3,118856,118856,241,0.2,13010,10.9,6758,5.7,3069,2.6,17421,14.7,6561,5.5,2234,1.9,8953,7.5,13378,11.3,24460,20.6,12139,10.2,6079,5.1,4553,3.8,118856,118856,98749,83.1,13693,11.5,6075,5.1,339,0.3,14777,17.3,24658,243923,243923,30123,12.3,12.2,24.5,16.4
"Goodyear city, Arizona",32803,32803,13509,41.2,5540,16.9,8495,25.9,1818,5.5,3441,10.5,32803,32803,207,0.6,1962,6,1759,5.4,1467,4.5,4932,15,2134,6.5,422,1.3,3952,12,2961,9,7887,24,2057,6.3,669,2,2394,7.3,32803,32803,25332,77.2,5544,16.9,1927,5.9,0,0,1300,5.4,29413,73051,73051,4295,5.9,3.6,11.6,4.5
"Mesa city, Arizona",228672,228672,79456,34.7,43864,19.2,59485,26,23610,10.3,22257,9.7,228672,228672,826,0.4,20332,8.9,18058,7.9,4600,2,27140,11.9,11547,5,4579,2,20379,8.9,26757,11.7,51064,22.3,24366,10.7,12523,5.5,6501,2.8,228672,228672,186474,81.5,24884,10.9,17095,7.5,219,0.1,19203,11,26713,482703,482703,55676,11.5,12.9,29.7,16.8
"Peoria city, Arizona",75236,75236,30476,40.5,14359,19.1,17956,23.9,5318,7.1,7127,9.5,75236,75236,348,0.5,4771,6.3,5739,7.6,1906,2.5,9883,13.1,5037,6.7,1777,2.4,7780,10.3,7430,9.9,16699,22.2,7341,9.8,3824,5.1,2701,3.6,75236,75236,62405,82.9,8907,11.8,3883,5.2,41,0.1,4005,6.9,30789,162868,162868,10190,6.3,5.4,8.8,7.7
