GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC27,HC01_VC66,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC70,HC01_VC74,HC01_VC75,HC01_VC76,HC01_VC77,HC01_VC78,HC01_VC79,HC01_VC80,HC01_VC81,HC01_VC82,HC01_VC83,HC01_VC84,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC91,HC01_VC93,HC01_VC97,HC01_VC99,HC01_VC101,HC01_VC103,HC01_VC104,HC01_VC105,HC01_VC106,HC01_VC107,HC01_VC108,HC01_VC109,HC01_VC110,HC01_VC111,HC01_VC112,HC01_VC113,HC01_VC114,HC01_VC115,HC01_VC118,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC130,HC01_VC131,HC01_VC132,HC01_VC133,HC01_VC134,HC01_VC137,HC01_VC138,HC01_VC141,HC01_VC142,HC01_VC143,HC01_VC144,HC01_VC145,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC153,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC157
1600000US0107000,107000,"Birmingham city, Alabama",173787,94213,96222,79530,13372,3320,0,90117,13274,6400,13508,10661,12205,16860,6945,6538,1657,2069,36241,52792,66449,27276,16055,9758,2539,22864,48392,4531,2193,5528,6544,7516,9904,4381,4662,1529,1604,43062,63207,23432,41725,23901,39568,25182,38835,33865,210335,185829,120237,89172,24506,45041,924,136492,100585,90825,75856,71130,7421,14969,9760,5922,3163,3150,3838,35907,31272,15860,19983,4635
1600000US0121184,121184,"Dothan city, Alabama",53608,28442,28595,23995,3085,1501,14,26119,2837,1813,3665,2680,3392,4563,2808,2369,938,1054,42336,63435,18651,9367,5689,2070,314,4484,15977,1035,690,1712,1543,2066,2857,2100,2167,818,989,56746,79402,26008,10142,24706,36506,26003,42119,31107,66882,60367,42817,27258,6515,15841,441,39759,28317,26190,22590,21541,1998,3600,2127,1180,622,644,947,11442,10026,5426,5503,1416
1600000US0135896,135896,"Hoover city, Alabama",66627,43406,43937,36682,5212,2043,0,32110,1051,1126,1425,2567,4561,4466,3795,6029,2680,4410,79004,112859,26707,8515,5506,708,0,1798,22925,310,272,821,1202,2669,2982,2978,5127,2626,3938,101950,131116,43410,9185,41666,64934,41638,71160,45113,84425,79809,69764,20370,4616,21621,541,50583,41833,40480,37652,37184,1141,2828,1353,1175,1175,0,178,8750,7734,6301,1877,1016
1600000US0137000,137000,"Huntsville city, Alabama",155191,93285,93852,75189,15049,3469,145,80540,6574,5676,9269,7462,9943,12398,7561,11673,4874,5110,51895,79025,63232,21896,15732,4170,3101,10326,46374,3008,1419,4421,3362,4124,8072,4836,8819,3984,4329,71114,98617,33255,34166,33097,51154,29437,58427,35882,192285,174890,142961,58920,17395,46063,775,118295,91514,87106,76434,73168,7449,10672,4408,3024,2290,768,1384,26781,22439,17689,6912,4342
1600000US0150000,150000,"Mobile city, Alabama",158492,83708,84607,71421,9509,3368,309,79188,9582,5613,11600,9165,11522,12879,6828,7403,2275,2321,39463,58113,57346,27490,13177,5016,768,15404,43834,3388,1621,5524,3898,7632,7249,4886,5969,1893,1774,49759,71165,25358,35354,26587,40972,26110,44430,30346,186224,163767,113185,73969,22457,38751,580,116524,85195,79170,67133,61841,7306,12037,6025,2981,2207,988,3044,31329,24639,13631,13386,6690
1600000US0151000,151000,"Montgomery city, Alabama",157686,88503,89703,68837,17325,3417,124,80899,7921,5727,10789,11219,10132,13364,7905,8645,2527,2670,41625,62855,61254,25363,16843,5582,1231,16931,46673,2632,1512,6020,5215,5577,8667,5114,7224,2214,2498,54734,79579,26936,34226,26751,38009,27290,40988,33946,196099,175532,125972,75736,20567,46902,888,122920,91354,83895,72027,68979,5689,11868,7459,4420,2626,2050,3039,31566,26921,15938,14301,4645
1600000US0177256,177256,"Tuscaloosa city, Alabama",83574,45280,45872,34268,9636,1968,0,36313,3990,2634,5071,5168,4452,6154,3228,2500,1431,1685,39298,63104,27839,10252,6888,1781,2029,3246,18446,1511,448,1706,2618,2230,2830,2283,2197,1232,1391,53151,85794,24920,17867,27573,38072,20421,35222,31508,98527,91462,73570,29068,7065,18197,0,69340,47528,43607,39110,38053,2156,4497,3921,3273,2113,1213,648,21812,20131,15986,6507,1681
1600000US0203000,203000,"Anchorage municipality, Alaska",232183,158236,153817,112505,32244,8821,247,105249,2257,2797,5038,6345,10028,18800,15469,22395,11374,10746,85634,106393,93174,21133,18341,4399,6021,9258,69999,1021,771,2818,2833,5475,12134,10294,17404,8449,8800,98717,117793,39061,35250,59348,75949,41059,60055,50270,287066,256457,211764,74771,30609,73785,5332,185109,152647,145497,127644,119469,15728,17853,7150,5427,3895,1945,1723,32462,27001,19114,9376,5461
1600000US0404720,404720,"Avondale city, Arizona",62136,38377,39145,34484,3220,1441,0,25849,1541,967,1774,2773,3806,6061,3818,3490,1068,551,58404,69218,22442,6131,3847,1912,367,4326,20258,749,566,1385,2317,3223,4616,3075,2896,905,526,63106,73054,22906,5591,42197,47175,31328,41570,32493,82516,72740,50904,30036,9776,23300,2298,51116,39806,37594,32358,28769,4754,5236,2212,1632,606,1157,580,11310,9699,4329,6062,1611
1600000US0410670,410670,"Casas Adobes CDP, Arizona",59214,35407,36672,29654,5116,1902,0,29473,1052,1237,2341,2694,3857,6471,3644,4564,1991,1622,63407,81078,22634,11081,7041,815,294,2010,18539,185,640,1062,1200,2074,4224,2731,3511,1479,1433,74571,95130,34708,10934,41572,55055,35639,51917,47746,69628,65651,49924,25274,3977,12331,397,43832,36434,34555,32716,29384,4110,1839,1879,1552,593,1001,327,7398,6033,3692,2921,1365
