Id,Id2,Geography,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; EMPLOYMENT STATUS - Civilian labor force,Estimate; OCCUPATION - Civilian employed population 16 years and over,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations",Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations,Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations","Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",Estimate; INDUSTRY - Civilian employed population 16 years and over,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Civilian employed population 16 years and over - Construction,Estimate; INDUSTRY - Civilian employed population 16 years and over - Manufacturing,Estimate; INDUSTRY - Civilian employed population 16 years and over - Wholesale trade,Estimate; INDUSTRY - Civilian employed population 16 years and over - Retail trade,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",Estimate; INDUSTRY - Civilian employed population 16 years and over - Information,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing","Estimate; INDUSTRY - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services","Estimate; INDUSTRY - Civilian employed population 16 years and over - Educational services, and health care and social assistance","Estimate; INDUSTRY - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services","Estimate; INDUSTRY - Civilian employed population 16 years and over - Other services, except public administration",Estimate; INDUSTRY - Civilian employed population 16 years and over - Public administration,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
1600000US0107000,107000,"Birmingham city, Alabama",173787,106805,96222,31887,20328,25772,5299,12936,96222,198,3579,8398,1518,13184,5218,2803,6882,10333,24972,10806,4948,3383,22864,23432,24.5
1600000US0121184,121184,"Dothan city, Alabama",53608,30835,28595,9814,5496,7632,2079,3574,28595,111,1232,2543,848,4120,1964,438,1156,2669,7557,2762,1993,1202,4484,26008,19.6
1600000US0135896,135896,"Hoover city, Alabama",66627,46021,43937,22965,6406,10260,1468,2838,43937,779,1492,3020,1157,3847,1556,2066,5023,5708,9766,5550,2687,1286,1798,43410,5.4
1600000US0137000,137000,"Huntsville city, Alabama",155191,98800,93852,42082,15399,19596,4586,12189,93852,309,3627,11984,1199,10434,2084,2622,2891,17461,20342,10079,3831,6989,10326,33255,17.3
1600000US0150000,150000,"Mobile city, Alabama",158492,90996,84607,27583,19195,22869,6167,8793,84607,482,4123,7332,2731,10336,4534,1810,4360,8688,20221,11631,4265,4094,15404,25358,21.4
1600000US0151000,151000,"Montgomery city, Alabama",157686,97360,89703,31908,15615,22176,4460,15544,89703,0,2418,11785,2518,12341,3433,923,6135,8467,18921,10520,4016,8226,16931,26936,19.3
1600000US0177256,177256,"Tuscaloosa city, Alabama",83574,49992,45872,15946,10508,8709,1949,8760,45872,87,1422,8319,459,4500,1632,738,963,4560,14075,6328,1554,1235,3246,24920,24.7
1600000US0203000,203000,"Anchorage municipality, Alaska",232183,162188,153817,62901,24825,38124,12716,15251,153817,3909,8123,4166,4245,16909,14417,3539,7072,15096,38020,13996,7170,17155,9258,39061,6.3
1600000US0404720,404720,"Avondale city, Arizona",62136,41643,39145,10999,6154,12336,4081,5575,39145,625,2690,3912,813,4543,2875,493,4512,4335,7672,3463,2524,688,4326,22906,14.4
1600000US0410670,410670,"Casas Adobes CDP, Arizona",59214,38674,36672,15504,7118,8653,2476,2921,36672,391,1559,2237,479,4548,1502,921,1755,5147,10002,4330,2090,1711,2010,34708,10.4
